Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Kyriad Fontenay-Trésigny,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.71247,2.8560452,114 rue Bertaux,77610#Fontenay-Trésigny,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2025-08-18,#https://www.kyriad.com/fr/hotels/kyriad-fontenay-tresigny,3 étoiles#Classement officiel des hébergements touristiques,"Découvrez l'ambiance chaleureuse du Kyriad Fontenay-Trésigny pour des instants conviviaux en famille, entre amis ou collègues. Profitez d'une gamme de services qui rendront votre séjour inoubliable. Les chambres offrent un confort moderne avec literie haut de gamme, salle de bain équipée, écrans plats LCD et wifi gratuit. Réservez dès maintenant pour vivre une expérience bien plus qu'une simple nuit.",https://data.datatourisme.fr/19/48e6a06d-9d1a-3c72-8c37-5a4d83e2fe35
Première Classe Paris Est Fontenay-Trésigny,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.711994,2.85593,114 rue Bertaux,77610#Fontenay-Trésigny,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2025-08-18,#http://premiere-classe-fontenay-tresigny.fr/,1 étoile#Classement officiel des hébergements touristiques,"Venez profiter du confort à petit prix à l'hôtel Première Classe Paris Est Fontenay-Trésigny ! Accès 24h/24 via bornes interactives, salle de bain privative, petit déjeuner varié, wifi gratuit, distributeur de boissons et collations. Que ce soit pour affaires ou vacances, nos hôtels vous accueillent chaleureusement. Confort optimal, prix mini, c'est par ici !",https://data.datatourisme.fr/19/e2035d2c-9b49-3fb4-bbe0-92a40881c506
Campanile Les Ulis,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.6777428,2.19428600000003,ZA de Courtaboeuf - Quartier 5 - 10 avenue des Andes,91940#Les Ulis,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2025-08-18,#http://campanile-les-ulis.fr/,2 étoiles#Classement officiel des hébergements touristiques,"Venez profiter de l'hospitalité chaleureuse de l'hôtel Campanile Les Ulis pour des moments conviviaux en famille, entre amis ou entre collègues. Nos chambres offrent un confort moderne avec literie haut de gamme, salle de bain équipée et écrans plats LCD. Profitez également de notre wifi gratuit et de tous les services à votre disposition. Réservez dès maintenant pour une expérience bien plus que reposante !",https://data.datatourisme.fr/19/4c8b8906-66a0-3d06-82ee-291ef0c2ab3f
B&B Hôtel Paris Porte des Lilas,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.880043,2.4077556,23 avenue René Fonck,75019#Paris,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2025-08-18,#https://www.hotel-bb.com/fr/hotel/paris-porte-des-lilas,2 étoiles#Classement officiel des hébergements touristiques,"Idéalement situé au nord-est de Paris, l'hôtel B&B Paris Porte des Lilas offre un confort urbain et chaleureux. Les 265 chambres, avec connexion Wifi haut débit et literie de qualité, assurent un séjour agréable. L'architecture singulière du bâtiment, signée de l'illustre Dominique Perrault, ajoute une touche d'audace à ce lieu emblématique des Lilas. Profitez d'un accueil personnalisé et d'une équipe professionnelle disponible 24h/24 pour un séjour réussi à Paris.",https://data.datatourisme.fr/19/4d048065-78c9-38df-a465-2e6972590934
Hotel Paris Opéra managed by Meliá,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.871387,2.3426626,3 boulevard Montmartre,75002#Paris,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2025-08-18,#http://www.melia.com/en/hotels/france/paris/tryp-paris-opera-hotel/index.html,4 étoiles#Classement officiel des hébergements touristiques,"Situé au cœur du quartier animé des Grands Boulevards, l'Hotel Paris Opéra managed by Melia est un lieu chaleureux, fonctionnel et facilement accessible en transport en commun. Récemment rénové, cet hôtel 4 étoiles offre un cadre contemporain et urbain aux voyageurs en quête d'authenticité. Proche de l'Opéra Garnier et du quartier Haussmann, il est idéalement placé pour une escapade parisienne réussie.",https://data.datatourisme.fr/19/4df32856-7fcb-3242-8a9c-e4ed23335bc4
Kyriad Créteil Bonneuil-sur-Marne,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.768497,2.486761,Avenue Jean Rostand - Zone de la Fosse aux Moines,94380#Bonneuil-sur-Marne,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2025-08-18,#http://kyriad-bonneuil-sur-marne.fr/,3 étoiles#Classement officiel des hébergements touristiques,"Notre hôtel propose 84 chambres climatisées au décor contemporain, avec salle de bain privative et literie de qualité. Chaque chambre est équipée d'un bureau, d'un plateau d'accueil et d'une télé LED de 43’’. Profitez du petit déjeuner buffet à volonté de 6h30 à 9h30 en semaine et de 7h à 10h30 le week-end. Wifi gratuit partout. Une salle de 60m2 et un salon lounge pour vos réunions. Détendez-vous au bar lounge « jazzy » avec un jeu de billard, réception ouverte 24/24.",https://data.datatourisme.fr/19/a4e175da-9574-3c2d-98ad-6bad8b8bcde4
Zazie Hôtel,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.84534,2.383296,3 rue Chaligny,75012#Paris,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2025-08-18,#https://www.zaziehotel.paris/,2 étoiles#Classement officiel des hébergements touristiques|Clef Verte#Clef verte,"Idéalement situé entre Bastille et Nation, près des Jardins de Reuilly et du Marché Aligre, le Zazie Hôtel profite d'un emplacement privilégié. Proche de la Gare de Lyon, il offre un accès facile aux sites touristiques. Les chambres, simples, doubles, twin, triples, mitoyennes ou communicantes, sont modernes avec salle de bains privative, télévision, téléphone et Wifi gratuit. Savourez un petit déjeuner buffet délicieux avec des produits locaux de qualité.",https://data.datatourisme.fr/19/a5592c29-1864-3557-916d-b274130092eb
Hôtel Duo,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.858112,2.3529277,11 rue du Temple,75004#Paris,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2025-08-18,#http://www.duo-paris.com/,4 étoiles#Classement officiel des hébergements touristiques,"Niché au cœur du Marais à Paris, l’hôtel Duo mêle tradition et modernité, créativité et histoire dans un cadre chic. Proche du Centre Georges Pompidou, du Louvre et de Notre-Dame, il offre une expérience unique. Son bar, havre de paix en ville, propose des fauteuils colorés et un arbre en bois flotté pour une détente totale. Profitez de la musique lounge et des cocktails savoureux pour une escapade parfaite aux portes des richesses parisiennes.",https://data.datatourisme.fr/19/a5b1de51-fd2d-3101-ba58-ff4e40aa1d77
Terrass’’ Hotel,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.8866,2.3329115,12-14 rue Joseph de Maistre,75018#Paris,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2025-08-18,#https://www.terrass-hotel.com/,4 étoiles#Classement officiel des hébergements touristiques|Clef Verte#Clef verte,"Le Terrass’’ Hôtel surplombe Montmartre depuis 1911, offrant une vue imprenable sur Paris. C'est un havre de paix rénové en 2015, avec 92 chambres et suites aux couleurs vives rappelant les ateliers d’artistes. Avec un restaurant, un spa Nuxe, des salles de réunion, une salle de sport et une bibliothèque, cet hôtel offre une expérience unique. Son rooftop est l'endroit parfait pour admirer la ville lumière. Un incontournable pour découvrir l'authenticité de Paris.",https://data.datatourisme.fr/19/a65ef3ee-4fb2-36dd-b282-686e046c9672
Ibis Styles Paris Saint-Denis Pleyel,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.9014848,2.3332462,2 quai de Saint-Ouen,93200#Saint-Denis,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2025-08-18,#https://all.accor.com/hotel/C1V8/index.fr.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps,3 étoiles#Classement officiel des hébergements touristiques,"Découvrez le Campanile Paris Nord - Saint-Denis - Quai de Saint-Ouen Pleyel pour des instants conviviaux inoubliables ! Que ce soit en famille, entre amis ou avec des collègues, profitez d'un cadre chaleureux et de nombreux services. Les chambres offrent un confort moderne avec literie haut de gamme, salles de bains équipées, écrans plats LCD et wifi gratuit. Réservez dès maintenant pour vivre bien plus qu'une simple nuit !",https://data.datatourisme.fr/19/a66c1653-45ae-365e-be84-f33f3a23b8dd
