Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Camping de Trézulien,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|https://www.datatourisme.fr/ontology/core#CamperVanArea|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,48.0923486,-4.3503886,14 route de Trézulien,29100#Douarnenez,,,Finistère 360° - Direction,SIT Breton,2025-10-01,#http://www.camping-trezulien.com/,4 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/38/43a20b8a-cd90-3102-b7b6-de13b56037e9
Hôtel-restaurant du Lac,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,48.3635018,-3.748531,9 rue du Général de Gaulle,29690#Huelgoat,,,OT CARHAIX POHER TOURISME-Aux Portes de La vallée des Saints et des Monts d'Arrée,SIT Breton,2025-02-14,#http://www.hoteldulac-huelgoat.com/,2 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/38/4e1cc570-4c5a-39f8-b709-51293cb21e9c
Hôtel de la Cité,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,48.6509508,-2.0247259,Intra-Muros 26 rue Sainte-Barbe,35401#Saint-Malo,,,SPL Destination Saint-Malo Baie du Mont-Saint-Michel,SIT Breton,2025-01-30,#http://www.hotel-cite-st-malo-bretagne.com/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/38/0ea975a1-22dc-3e99-bc4d-ae185b3cd9ae
Hôtel - restaurant de la Pointe du Grouin,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,48.7080188,-1.8456011,La Pointe du Grouin,35260#Cancale,,,SPL Destination Saint-Malo Baie du Mont-Saint-Michel,SIT Breton,2025-06-11,#http://www.hotelpointedugrouin.com/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/38/0f4bb27d-705c-3d10-8659-322fac4d6594
Camping Municipal de la Pointe du Grouin,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|https://www.datatourisme.fr/ontology/core#CamperVanArea|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,48.7041112,-1.847886,La Pointe du Grouin,35260#Cancale,,,SPL Destination Saint-Malo Baie du Mont-Saint-Michel,SIT Breton,2025-07-08,#https://campingcancale.wixsite.com/website,2 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/38/42958259-f367-3ae3-9b81-fd1a3e981507
Malouinière  Hôtel le Valmarin,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,48.6344246,-2.0180422,Saint-Servan 7 rue Jean XXIII,35400#Saint-Malo,,,SPL Destination Saint-Malo Baie du Mont-Saint-Michel,SIT Breton,2025-01-07,#http://www.levalmarin.com/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/38/0fbc683d-7e98-3923-8d54-a07ea5671eec
La Maison des Armateurs,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,48.6491286,-2.0245571,Intra-Muros 6 Grand Rue,35400#Saint-Malo,,,SPL Destination Saint-Malo Baie du Mont-Saint-Michel,SIT Breton,2025-08-06,#http://www.maisondesarmateurs.com/,4 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/38/12470f4e-1e78-3b21-9442-4b03a82716cb
Camping Municipal Le Roch Vetur,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|https://www.datatourisme.fr/ontology/core#CamperVanArea|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.51863,-2.651131,Rue de la Plage - Plage de Rouvran,56370#Le Tour-du-Parc,,"Nous n'avons pas de bar ni de piscine, nous nous situons au bord de mer
les sanitaires sont nettoyés plusieurs fois par jour",CRT Bretagne_,SIT Breton,2025-09-24,#http://www.camping-letourduparc.fr/,2 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/38/2ddc0dce-0536-3d89-ac98-ea68a919181d
Camping de Kergo,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|https://www.datatourisme.fr/ontology/core#CamperVanArea|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.6433711,-3.0527586,13 Lieu-dit Kergo,56400#Ploemel,,"- Mise à disposition de nos clients de produits désinfectants dans les parties communes.
- Affichage du processus de lavage des mains.
- Mise en place des marquages au sol et signalisation pour assurer la distanciation.
- Renforcement du nettoyage et de la désinfection des parties communes et adaptation aux exigences et recommandations des autorités sanitaires.
- Renforcement du nettoyage et de la ventilation des hébergements.

Le spa, la salle de jeux sont fermés.",CRT Bretagne_,SIT Breton,2025-09-29,#http://www.campingkergo.com/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/38/3e938c5c-af47-3405-937f-502bedd352fc
Camping Val de Landrouët,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|https://www.datatourisme.fr/ontology/core#CamperVanArea|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,48.1978835,-2.4161846,Le Val de Landrouët 14 rue du Gouède,22230#Merdrignac,,Mise en place d'un protocole de désinfection régulier des espaces communs. Les locations seront désinfectées entre chaque utilisateur.,Côtes d'Armor Destination,SIT Breton,2025-08-21,#http://valdelandrouet.com/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/38/41b328a3-5df7-3073-9e61-183626062cc2
