Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Passerelle de Valmicky (Réserve naturelle régionale Terres et étangs de Brenne Massé-Foucault),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#NaturalHeritage|https://www.datatourisme.fr/ontology/core#NaturalPark|http://schema.org/Landform,46.74083,1.22219,Le Blizon,36300#Rosnay,,,Destination Brenne,SIT Centre-Val de Loire,2025-01-02,#https://www.parc-naturel-brenne.fr/,Parc Naturel Régional#Fédération des Parcs Naturels Régionaux de France,"Passerelle en bois surplombant un petit étang riche de grenouilles, libellules et tortues Cistude.",https://data.datatourisme.fr/15/0a9c030c-f464-35c6-bc3a-57187448c517
Sur les traces de la Brenne (Réserve Naturelle Régionale Massé-Foucault),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#NaturalHeritage|https://www.datatourisme.fr/ontology/core#NaturalPark|http://schema.org/Landform,46.74083,1.22219,Le Blizon,36300#Rosnay,,,Destination Brenne,SIT Centre-Val de Loire,2025-01-02,#http://www.parc-naturel-brenne.fr/,Parc Naturel Régional#Fédération des Parcs Naturels Régionaux de France,Sentier d'interprétation ouvert au printemps 2024 cheminant au sein de la Réserve Naturelle Régional Massé-Foucault sur 1.7km.,https://data.datatourisme.fr/15/4333c00a-595c-37c3-962e-66f0990d87c9
"Chemin d'étang, raconte-nous la Brenne",https://www.datatourisme.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/Event,46.7409382,1.22212087,Le Blizon,36300#Rosnay,2025-10-21<->2025-10-21,,Destination Brenne,SIT Centre-Val de Loire,2025-07-22,#https://www.parc-naturel-brenne.fr/observez/sorties-et-animations-nature/paysages,,"Balade de 2 km à la rencontre de la Brenne, l'histoire de ses paysages et de ses pratiques actuelles.",https://data.datatourisme.fr/15/f28ab2ae-94e2-3c40-aa39-07cbb94a6873
Pêche de l'étang Massé,https://www.datatourisme.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/Event,46.7410411,1.21804392,Le Blizon,36300#Rosnay,2025-12-06<->2025-12-06,,Destination Brenne,SIT Centre-Val de Loire,2025-09-29,#,,venez assister à une pêche d'étang en Brenne.,https://data.datatourisme.fr/15/07b91a01-b5af-3282-95a1-c27dcc07f354
Observatoire de l'étang Ricot (Réserve naturelle de Chérine),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,46.78764,1.19967,Etang Ricot,36290#Saint-Michel-en-Brenne,,,Destination Brenne,SIT Centre-Val de Loire,2025-09-17,#http://www.reserve-cherine.fr/,Réserve naturelle régionale#Réserve naturelle de France,L'observatoire est situé sur l'étang Ricot dans la Réserve Naturelle Nationale de Chérine. Cet étang avec une ancienne roselière vous invite à de belles observations.,https://data.datatourisme.fr/15/a614e40e-bf27-30e7-aca8-8ac2ff40a614
Observatoire de l'étang Purais (Réserve naturelle de Chérine),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,46.752829,1.1027956,Etang Purais,36220#Lingé,,,Destination Brenne,SIT Centre-Val de Loire,2025-09-17,#http://www.reserve-cherine.fr/,Réserve naturelle régionale#Réserve naturelle de France,L'observatoire est situé sur l'étang Purais dans la Réserve Naturelle Nationale de Chérine. Cet étang est remarquable par son important massif de nénuphars qui abrite de nombreuses espèces.,https://data.datatourisme.fr/15/a906fa38-9cd0-38d1-9d9f-4be1fe4c1122
Ferme des Buttons,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Practice|https://www.datatourisme.fr/ontology/core#ProducersGroup|https://www.datatourisme.fr/ontology/core#TastingProvider|https://www.datatourisme.fr/ontology/core#Tasting|http://schema.org/LocalBusiness|http://schema.org/Product,46.7320311,1.20428896,Le Rianvert,36300#Rosnay,,,Destination Brenne,SIT Centre-Val de Loire,2025-09-16,#https://www.facebook.com/Ferme.des.buttons,Bienvenue à la ferme#Bienvenue à la ferme,"Cette ferme est située aux portes de la réserve ""Terres et étangs de Brenne Massé-Foucault"" sur un chemin de grande randonnée. Production de bovins de races limousines et Black Angus.",https://data.datatourisme.fr/15/ba22289b-3ef1-3d02-8aad-31b572174836
La Brenne à cheval : circuits en marguerite au départ de la ferme des Buttons,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#HorseTour|http://purl.org/ontology/olo/core#OrderedList,46.723668,1.215031,Le Rianvert,36300#Rosnay,,,Destination Brenne,SIT Centre-Val de Loire,2025-01-25,#,,"A proximité de la Réserve Naturelle Régionale Terres et étangs de Brenne Massé-Foucault, l'auberge des Buttons,  ferme d'élevage bovins, propose trois boucles sur les paysages du centre Brenne.",https://data.datatourisme.fr/15/29cd5449-a10c-34fe-932d-1ba4c8f749aa
Restaurant Le Cheval Blanc,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,48.0859734,2.78923401,Carrefour des Trois platanes,45210#Ferrières-en-Gâtinais,,,OT FERRIERES-EN-GATINAIS,SIT Centre-Val de Loire,2025-06-03,#https://www.hotel-abbaye.fr/restaurant-le-cheval-blanc,Maître Restaurateur#Association Française des Maîtres Restaurateurs,"Situé dans la cité médiévale de Ferrières-en-Gâtinais et à 4km de la Scandibérique EV3, dans une salle lumineuse pouvant accueillir jusqu'à 80 convives, le chef vous invite à découvrir une cuisine délicate à base de produits frais et de saison, mettant en valeur la richesse de notre terroir.",https://data.datatourisme.fr/15/a83d55e7-068e-3a81-acc1-daa2f8aec65a
L'Etang de l'Isle,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,48.5619208,1.0430372,entre la rue des laitiers et la rue du Vieux Fourneau,28250#Senonches,,,OTs DU PERCHE,SIT Centre-Val de Loire,2025-01-02,#http://www.cen-centrevaldeloire.org/,Site protégé#Site protégé,Cet ancien étang présente encore aujourd'hui une flore et une faune typiques des zones humides à préserver au coeur de l'agglomération senonchoise.,https://data.datatourisme.fr/15/c19c2a88-fcae-3f63-9fb8-da1342fa43c6
