GEO,TOUR_MEASURE,HOTEL_STA,FREQ,TIME_PERIOD,TERRTYPO,ACTIVITY,TOUR_RESID,UNIT_LOC_RANKING,OBS_STATUS,DECIMALS,UNIT_MULT,OBS_STATUS_FR,CONF_STATUS,OBS_VALUE_NIVEAU
2023-DEP-30,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,1342.474388017
2023-DEP-52,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,302.961368146
2023-DEP-59,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,3711.033975785
2023-DEP-53,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,311.328273365
2023-DEP-85,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,1621.289930389
2023-DEP-62,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,2547.192868228
2023-DEP-2A,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,1878.593609755
2023-DEP-974,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,1548.870141999
2023-DEP-77,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,849.031890182
2023-DEP-78,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,184.521706448
2023-DEP-79,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,44.855846205
2023-DEP-80,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,109.407127413
2023-DEP-76,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,323.064401833
2023-DEP-81,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,47.140708574
2023-DEP-82,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,38.783330428
2023-DEP-83,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,670.52992565
2023-DEP-84,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,278.910635396
2023-DEP-85,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,274.80228836
2023-DEP-86,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,260.139920052
2023-DEP-87,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,70.093109162
2023-DEP-88,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,102.243147335
2023-DEP-89,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,76.104133473
2023-DEP-88,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,786.209443129
2023-DEP-90,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,29.824122857
2023-DEP-91,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,162.328859081
2023-DEP-92,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,434.079560157
2023-DEP-93,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,348.606913242
2023-DEP-94,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,207.703000496
2023-DEP-95,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,320.900768969
2023-DEP-77,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,9382.427317157
2023-DEP-16,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,481.422185946
2023-DEP-54,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,989.908449099
2023-DEP-84,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,2206.375168611
2023-DEP-971,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,109.025177802
2023-DEP-972,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,108.785733536
2023-DEP-973,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,36.956825823
2023-DEP-974,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,153.257404024
2023-DEP-976,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,15.100279131
2023-DEP-01,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,115.382716181
2023-DEP-02,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,45.896133423
2023-DEP-03,NUI,_T,M,2024-08,_T,I551,_T,_T,A,2,3,D,F,99.434523054
