code_cluster,mois,capacity_camping,capacity_hotel,nb_nights_camping,nb_nights_hotel
1,1,1334.0,2554.0,26696.945488282403,22240.71683917922
1,2,1334.0,2554.0,31489.96042793492,26256.056102256745
1,3,1334.0,2554.0,35173.58595199093,28885.33173839956
1,4,1334.0,2554.0,30024.54196442827,23832.54519255885
1,5,1334.0,2554.0,39535.84426338792,30498.742887857054
1,6,1334.0,2554.0,42229.02535410995,33117.201336838814
1,7,1334.0,2554.0,42588.2515639612,33705.21806518829
1,8,1334.0,2554.0,44944.745379074964,35401.4270912818
1,9,1334.0,2554.0,35673.01632905076,28145.021828807327
1,10,1334.0,2554.0,32734.083445821474,25523.629564846426
1,11,1334.0,2554.0,27857.464356681583,21777.611847680015
1,12,1334.0,2554.0,29200.847080343752,23879.21267975172
2,1,193.0,1057.0,3858.3030480656507,8654.868536510914
2,2,193.0,1057.0,4550.659437280187,10207.948596427257
2,3,193.0,1057.0,5089.724501758499,11417.168610398066
2,4,193.0,1057.0,4357.206916764361,9773.999756156514
2,5,193.0,1057.0,5750.970105509965,12900.46157611882
2,6,193.0,1057.0,6134.4812426729195,13760.746119111696
2,7,193.0,1057.0,6181.995896834702,13867.33004479223
2,8,193.0,1057.0,6526.630780461021,14640.408150302092
2,9,193.0,1057.0,5179.530275037515,11618.619132004775
2,10,193.0,1057.0,4757.426478436108,10671.76430416048
2,11,193.0,1057.0,4047.820403962193,9079.990093899738
2,12,193.0,1057.0,4226.993290877491,9481.907144541083
3,1,99.0,631.0,1979.1295427901523,5166.719060112003
3,2,99.0,631.0,2334.2760844079717,6093.865245360075
3,3,99.0,631.0,2610.791324736225,6815.736417371031
3,4,99.0,631.0,2235.0439624853457,5834.809693599584
3,5,99.0,631.0,2949.9794841735056,7701.221622072825
3,6,99.0,631.0,3146.702813599062,8214.787891352393
3,7,99.0,631.0,3171.075615474795,8278.415570732162
3,8,99.0,631.0,3347.8572397183475,8739.921989442402
3,9,99.0,631.0,2656.857498594373,6935.996851745518
3,10,99.0,631.0,2440.337934534584,6370.7504975641095
3,11,99.0,631.0,2076.343108768171,5420.504966178558
3,12,99.0,631.0,2168.250444543376,5660.438418358962
4,1,1012.0,337.0,20231.101992966003,2759.404632738106
4,2,1012.0,337.0,23861.488862837046,3254.568284764414
4,3,1012.0,337.0,26688.089097303633,3640.100115141105
4,4,1012.0,337.0,22847.116060961314,3116.2137349335335
4,5,1012.0,337.0,30155.345838218054,4113.013766463617
4,6,1012.0,337.0,32166.295427901525,4387.295593321326
4,7,1012.0,337.0,32415.439624853458,4421.277412578033
4,8,1012.0,337.0,34222.54067267644,4667.755484060364
4,9,1012.0,337.0,27158.987763409146,3704.327954101806
4,10,1012.0,337.0,24945.676664131304,3402.4451944201346
4,11,1012.0,337.0,21224.84066740797,2894.944807610418
4,12,1012.0,337.0,22164.33787755451,3023.0867622614423
5,1,286.0,303.0,5717.485345838219,2481.0077261710567
5,2,286.0,303.0,6743.464243845252,2926.2142144914465
5,3,286.0,303.0,7542.286049237984,3272.8496584206378
5,4,286.0,303.0,6456.79366940211,2801.818283931337
5,5,286.0,303.0,8522.162954279016,3698.0509532298984
5,6,286.0,303.0,9090.474794841735,3944.6604296034475
5,7,286.0,303.0,9160.88511137163,3975.2138160568074
5,8,286.0,303.0,9671.58758140856,4196.82466371006
5,9,286.0,303.0,7675.36610705041,3330.597537367499
5,10,286.0,303.0,7049.86514421102,3059.171792015729
5,11,286.0,303.0,5998.324536441383,2602.8732246467557
5,12,286.0,303.0,6263.834617569753,2718.086910876015
6,1,138.0,636.0,2758.786635404455,5207.659781665981
6,2,138.0,636.0,3253.83939038687,6142.152608635511
6,3,138.0,636.0,3639.284876905041,6869.743837476982
6,4,138.0,636.0,3115.5158264947245,5881.044318746965
6,5,138.0,636.0,4112.092614302462,7762.245565195431
6,6,138.0,636.0,4386.313012895663,8279.881297781494
6,7,138.0,636.0,4420.287221570926,8344.013158455873
6,8,138.0,636.0,4666.710091728605,8809.17652184686
6,9,138.0,636.0,3703.4983313739745,6990.957207147623
6,10,138.0,636.0,3401.6831814724505,6421.2318802706395
6,11,138.0,636.0,2894.296454646542,5463.456669555567
6,12,138.0,636.0,3022.409710575615,5705.291337680348
7,1,763.0,535.0,15921.242679534984,6249.807585408476
7,2,763.0,535.0,18833.203953608732,7405.556314162511
7,3,763.0,535.0,19977.878529143683,7605.930236167512
7,4,763.0,535.0,15079.99679886192,5250.93579670494
7,5,763.0,535.0,17741.80639550907,5583.462294426088
7,6,763.0,535.0,20245.262658719552,6778.514244414409
7,7,763.0,535.0,21150.770759763232,7297.542412148476
7,8,763.0,535.0,21917.05122701635,7447.122629897094
7,9,763.0,535.0,17507.344706426633,5981.058435311106
7,10,763.0,535.0,15340.435002885162,5032.432430721556
7,11,763.0,535.0,13190.114731353257,4367.685735343574
7,12,763.0,535.0,16343.275471008032,6161.994597238379
8,1,634.0,438.0,8443.442537701509,4851.664882188308
8,2,634.0,438.0,9828.153926157047,5647.330345100877
8,3,634.0,438.0,11351.336453458138,6522.562354304704
8,4,634.0,438.0,11875.548621944878,6823.7785652644625
8,5,634.0,438.0,15498.876755070203,8905.769859885686
8,6,634.0,438.0,15281.279251170048,8780.736715713709
8,7,634.0,438.0,15742.84971398856,9045.958536684566
8,8,634.0,438.0,15131.642532595943,8694.754344263889
