code_cluster,code_insee_centre_zone_emploi,latitude_centre,longitude_centre,ville_principale
1,01053,46.11441566265061,5.248933734939759,Bourg-en-Bresse
2,69264,46.085293478260866,4.7097500000000005,Villefranche-sur-Saône
3,01034,45.81204109589041,5.677178082191781,Belley
4,74012,46.15527397260274,6.112082191780822,Annemasse
5,01283,46.17922857142857,5.5891142857142855,Oyonnax
6,71270,46.408188679245285,4.785691823899371,Mâcon
7,69123,45.752923076923075,4.843512820512821,Lyon
8,02691,49.84420552147239,3.221343558282208,Saint-Quentin
9,02722,49.31407327586207,3.2217327586206896,Soissons
10,02408,49.58707522123894,3.7651902654867255,Laon
11,59392,50.08135,3.929575,Maubeuge
12,02168,49.088361344537816,3.413890756302521,Château-Thierry
13,03310,46.193749999999994,3.3969513888888887,Vichy
14,03190,46.54157425742574,3.3013663366336634,Moulins
15,03185,46.28395614035088,2.694754385964912,Montluçon
16,04070,44.164016260162605,6.234357723577236,Digne-les-Bains
17,04112,43.8915223880597,5.866194029850747,Manosque
18,06088,43.90903448275862,7.081913793103448,Nice
19,05061,44.523784,6.005464,Gap
20,84035,43.8992037037037,5.286703703703704,Cavaillon
21,06029,43.675200000000004,6.874,Antibes
22,05023,44.80869444444445,6.628638888888889,Briançon
23,06083,43.86244444444444,7.469888888888889,Menton
24,43137,45.08109090909091,4.309402597402597,Monistrol-sur-Loire
25,07019,44.610594285714285,4.341131428571429,Aubenas
26,26198,44.57261538461538,4.898892307692307,Montélimar
27,26362,44.81627848101266,5.059696202531645,Valence
28,38544,45.302013698630134,4.798554794520548,Vienne
29,43157,45.05897826086957,3.7589782608695654,Le Puy-en-Velay
30,84019,44.35837931034483,4.731344827586207,Pierrelatte
31,51454,49.34925777777778,4.106697777777778,Reims
32,08105,49.78146111111111,4.586766666666667,Charleville-Mézières
33,08409,49.491975609756096,4.995626016260163,Sedan
34,09225,42.990847583643124,1.6790669144981412,Pamiers
35,31483,43.06762371134021,0.8257860824742267,Saint-Gaudens
36,11069,43.12301294498382,2.231148867313916,Carcassonne
37,31555,43.53712537313433,1.416516417910448,Toulouse
38,10387,48.26509776536312,4.265357541899442,Troyes
39,52448,48.58810267857143,4.851089285714286,Saint-Dizier
40,10323,48.62997647058823,3.7120411764705885,Romilly-sur-Seine
41,11262,43.14160784313726,2.808098039215686,Narbonne
42,81065,43.57735074626866,2.2413880597014924,Castres
43,66136,42.61734893617021,2.558817021276596,Perpignan
44,12202,44.42275939849624,2.6134586466165413,Rodez
45,12145,43.97976923076923,3.0270109890109893,Millau
46,12300,44.510882352941174,2.0114485294117648,Villefranche-de-Rouergue
47,81004,43.9396,2.104015789473684,Albi
48,13001,43.60922950819672,5.501377049180328,Aix-en-Provence
49,13055,43.33854838709677,5.496741935483871,Marseille
50,13056,43.57973076923077,5.077384615384616,Martigues
51,13004,43.74535,4.7027,Arles
