code_cluster,activités,balades,centres_de_tourisme,culture,evenements,logements,magasins,nourriture,parcs,sorties_soir,sports,sports_hiver,transports
1.0,55,4,2,225,19,23,1,181,10,2,153,0,0
2.0,4,0,4,72,1,9,0,60,3,1,56,0,5
3.0,63,1,2,151,22,8,0,23,14,0,102,22,2
4.0,34,2,5,96,6,21,0,80,2,1,100,19,0
5.0,51,0,1,86,41,14,0,19,9,1,96,18,0
6.0,1,0,2,53,4,5,0,35,0,0,11,0,1
7.0,22,1,5,198,34,23,1,157,6,13,43,0,0
8.0,191,5,6,152,211,61,0,54,18,4,98,0,0
9.0,60,1,4,232,106,75,0,77,15,1,71,0,3
10.0,65,0,4,141,77,91,0,45,4,0,99,0,0
11.0,17,0,1,38,15,31,0,9,1,1,26,0,0
12.0,61,0,2,147,92,54,0,33,8,3,36,0,0
13.0,116,1,11,886,326,86,1,224,43,5,493,4,0
14.0,33,0,4,423,176,56,0,82,26,0,296,0,3
15.0,37,1,5,278,190,44,1,150,15,2,105,0,0
16.0,30,6,19,535,45,43,0,274,4,0,210,0,1
17.0,26,0,17,313,28,39,1,115,4,1,50,0,0
18.0,64,4,25,276,52,165,1,427,21,21,132,0,7
19.0,38,10,32,490,39,42,0,171,8,5,132,0,4
20.0,6,0,2,97,49,29,0,37,11,1,28,0,0
21.0,26,1,13,237,37,73,0,297,13,18,63,0,6
22.0,30,11,24,423,31,57,0,166,4,24,157,2,0
23.0,19,4,12,311,23,47,2,316,14,1,67,0,3
24.0,259,1,19,654,306,28,0,194,22,3,183,0,0
25.0,72,0,34,500,1,45,0,208,0,3,74,0,1
26.0,115,0,11,701,175,41,1,151,11,1,62,0,0
27.0,399,0,35,1337,777,67,3,388,45,31,205,0,8
28.0,45,0,10,382,67,19,1,201,12,11,149,0,1
29.0,279,2,11,1012,455,43,2,221,31,1,110,2,0
30.0,70,1,10,403,79,17,0,69,3,0,51,0,2
31.0,113,0,2,29,28,75,0,24,0,0,13,0,0
32.0,352,0,6,145,113,389,0,152,15,2,116,0,0
33.0,189,0,3,95,73,174,0,49,5,1,59,0,0
34.0,19,1,15,393,33,28,2,204,5,15,62,0,0
35.0,73,6,5,418,157,145,0,274,19,19,175,0,0
36.0,129,0,11,276,140,76,0,101,1,0,54,1,0
37.0,76,0,1,456,240,193,0,427,33,24,217,0,0
38.0,210,1,28,528,624,149,1,316,55,21,75,0,8
39.0,0,0,0,12,1,2,0,3,0,0,0,0,0
40.0,9,0,4,40,2,16,0,8,5,5,2,0,0
41.0,118,0,11,188,98,68,0,97,0,4,79,0,1
42.0,54,3,1,76,31,24,0,44,2,3,52,0,0
43.0,27,0,1,14,1,8,0,14,0,0,4,0,0
44.0,563,0,25,980,343,489,2,389,19,8,396,0,0
45.0,411,0,13,496,152,267,0,200,20,7,193,0,1
46.0,247,0,15,344,197,189,1,179,4,4,118,0,0
47.0,20,0,1,35,12,12,0,10,1,0,13,0,0
48.0,200,2,19,1238,333,124,4,446,18,24,181,0,0
49.0,178,1,11,818,231,130,2,513,26,12,216,0,13
50.0,159,2,13,575,248,106,1,368,23,7,185,0,18
51.0,122,1,7,690,229,200,2,275,15,4,198,0,4
52.0,33,1,6,262,93,49,1,125,31,1,64,0,1
53.0,212,0,11,175,240,133,0,112,19,11,149,0,9
54.0,733,0,29,480,483,330,1,235,123,33,544,0,19
55.0,85,1,0,122,38,61,0,63,41,8,63,0,1
56.0,30,0,1,26,16,11,0,5,24,0,56,0,1
57.0,21,0,2,11,8,19,0,4,1,0,14,0,0
58.0,1,0,1,3,2,2,0,3,1,0,11,0,0
59.0,21,0,9,163,15,23,1,66,5,0,77,2,0
60.0,140,1,18,342,60,72,0,123,27,1,393,0,11
61.0,16,2,2,132,17,25,0,55,3,1,62,0,0
62.0,31,0,4,287,55,9,0,63,3,2,19,0,0
63.0,15,0,1,27,17,4,0,13,5,0,101,0,0
64.0,286,0,12,433,492,28,0,160,74,8,428,0,1
65.0,179,0,13,462,266,25,2,115,58,13,192,0,2
66.0,414,0,32,465,166,239,0,312,129,33,392,0,39
67.0,136,0,31,237,55,47,1,58,46,2,146,0,24
68.0,110,1,6,299,255,52,3,129,41,6,96,0,3
69.0,62,0,6,164,114,17,1,54,49,8,99,0,11
70.0,93,0,7,351,198,20,2,104,43,3,161,0,4
71.0,228,0,24,966,511,50,4,255,104,13,211,0,21
72.0,1,0,0,9,4,0,0,1,12,0,27,0,0
73.0,481,0,103,608,173,140,2,129,87,9,223,0,45
74.0,179,0,8,58,220,38,0,43,15,8,167,0,0
75.0,18,0,1,20,30,5,0,5,5,1,21,0,0
76.0,12,0,1,7,21,5,0,7,3,1,20,0,0
77.0,198,0,4,16,41,17,0,22,4,4,21,0,0
78.0,437,0,16,130,374,56,0,53,18,5,303,0,0
79.0,34,0,3,9,20,8,0,6,6,0,20,0,0
80.0,165,1,20,500,92,140,1,154,53,3,312,0,18
81.0,136,0,30,416,123,130,1,146,20,17,205,0,22
82.0,37,0,3,53,20,17,0,11,15,1,58,0,0
83.0,867,1,10,640,89,211,0,121,7,19,40,0,0
84.0,723,0,18,211,69,164,0,151,49,28,76,0,0
85.0,711,0,11,150,56,115,0,104,19,6,76,0,0
86.0,30,0,0,14,4,4,0,3,0,1,0,0,0
87.0,211,0,2,47,27,28,0,77,9,12,66,0,0
89.0,283,0,0,46,218,25,0,0,1,4,60,0,0
90.0,227,0,0,30,216,25,0,0,2,0,64,0,0
91.0,166,0,0,23,114,19,0,0,2,1,36,0,0
92.0,142,0,0,24,92,10,0,0,1,1,29,0,0
93.0,368,0,0,71,260,54,0,1,2,1,146,0,0
94.0,160,0,0,5,115,7,0,0,0,2,24,0,0
95.0,34,0,0,2,29,5,0,0,0,0,8,0,0
96.0,379,0,0,93,189,110,0,2,2,2,136,0,0
97.0,268,0,0,44,309,34,0,0,0,0,133,0,0
98.0,141,0,8,555,146,141,3,171,98,5,504,0,21
99.0,307,0,24,283,55,349,0,257,24,24,315,0,21
100.0,144,0,14,416,113,114,0,108,36,20,199,0,28
101.0,9,0,4,23,2,9,0,4,12,0,3,0,0
102.0,717,0,4,200,170,130,1,180,20,12,260,0,0
103.0,10,0,0,7,0,7,0,1,0,2,5,0,0
104.0,242,0,3,47,98,23,0,60,10,0,76,0,0
105.0,990,0,12,181,107,105,0,168,6,7,261,0,0
106.0,1196,0,15,92,38,93,0,95,14,6,211,0,0
107.0,1155,0,8,333,176,148,2,183,10,15,219,0,0
108.0,105,5,6,689,78,16,3,73,9,1,73,0,0
109.0,174,0,8,588,199,22,0,108,20,3,42,1,0
110.0,15,0,4,31,4,18,0,11,2,1,18,0,0
111.0,53,0,5,14,31,27,0,13,1,1,38,0,0
112.0,34,0,6,56,65,37,0,25,11,2,55,0,0
113.0,21,0,6,104,178,46,0,34,6,4,46,0,0
114.0,11,0,2,29,19,26,0,5,3,0,24,0,0
115.0,0,0,0,4,1,2,0,1,0,0,4,0,0
116.0,74,0,5,28,162,43,0,13,5,2,55,0,0
117.0,43,0,5,20,91,15,0,6,8,1,52,0,0
118.0,38,0,3,15,35,11,0,4,5,1,37,0,0
119.0,19,0,1,7,7,1,0,0,1,0,3,0,0
120.0,531,0,0,60,443,64,0,0,0,4,136,0,0
121.0,93,0,0,9,164,14,0,0,0,1,14,0,0
122.0,606,0,0,91,391,98,0,1,0,5,151,0,0
123.0,0,0,12,3,0,0,0,0,0,0,0,0,0
124.0,0,0,4,6,0,0,0,0,0,0,1,0,0
125.0,18,0,6,46,3,11,0,18,0,1,24,0,1
126.0,0,0,3,1,0,0,0,0,0,0,0,0,0
127.0,0,0,6,13,2,1,0,3,0,0,1,0,0
128.0,12,0,14,129,26,45,0,76,4,1,35,0,4
129.0,0,0,7,8,0,0,0,0,0,0,0,0,0
130.0,57,1,7,483,34,44,1,166,9,0,58,0,0
131.0,446,2,24,640,591,403,1,330,14,23,221,0,27
132.0,11,0,5,98,13,11,0,23,0,0,10,0,0
133.0,89,5,10,410,19,23,1,111,23,1,31,0,0
134.0,9,1,15,306,65,18,3,195,15,6,122,0,1
135.0,3,0,0,7,0,7,0,6,0,0,3,0,0
136.0,0,0,0,27,20,1,0,7,1,0,0,0,0
138.0,209,0,103,381,79,86,1,54,67,10,142,0,23
139.0,385,0,45,607,191,108,0,230,38,11,163,0,51
140.0,218,0,17,705,30,43,0,77,51,6,118,0,36
142.0,448,2,6,551,673,397,0,241,25,19,270,0,16
143.0,264,1,2,133,222,195,0,127,1,10,85,0,18
144.0,822,1,7,112,402,117,0,65,5,3,24,0,5
145.0,213,0,0,38,124,47,0,1,2,0,71,0,0
146.0,67,0,0,7,65,7,0,0,0,0,11,0,0
147.0,64,0,0,10,33,10,0,0,0,0,15,0,0
148.0,85,0,1,9,48,15,0,11,0,0,27,0,0
149.0,45,0,0,4,20,2,0,0,1,0,2,0,0
150.0,76,0,8,26,36,66,0,26,5,7,95,0,0
151.0,117,0,7,41,106,34,0,21,18,5,97,0,0
152.0,216,0,10,48,224,225,0,96,28,12,158,0,0
153.0,98,0,4,25,80,57,0,21,14,5,28,0,0
154.0,18,0,7,268,68,25,1,172,2,6,95,0,0
155.0,82,19,42,911,133,101,4,477,38,79,645,11,1
156.0,19,1,8,330,40,17,2,148,10,5,130,0,0
157.0,152,0,40,468,177,148,2,172,31,14,96,0,26
158.0,279,0,38,501,157,153,1,228,22,25,110,0,20
159.0,262,0,12,377,113,72,2,182,9,32,47,0,26
160.0,0,0,2,8,1,4,0,0,1,1,3,0,0
162.0,24,0,2,31,59,18,0,8,10,0,52,0,0
163.0,145,0,7,42,34,162,0,46,15,13,62,0,0
164.0,71,5,11,273,101,20,0,186,24,18,163,0,0
165.0,23,3,3,191,7,12,0,112,8,7,130,0,0
166.0,31,2,7,169,18,10,0,134,2,4,71,0,1
167.0,2,0,0,4,3,1,0,1,0,0,0,0,0
168.0,5,0,0,36,0,3,0,20,2,1,15,0,0
169.0,15,0,3,50,15,17,0,71,20,0,66,0,0
170.0,224,1,8,390,230,147,0,258,127,15,360,0,0
171.0,46,0,1,82,159,24,0,77,2,4,49,0,0
172.0,305,0,11,202,417,56,0,242,73,4,270,0,0
173.0,208,0,18,433,463,116,0,514,99,6,514,0,0
174.0,14,0,1,58,17,8,0,22,0,0,22,0,0
175.0,32,0,16,26,2,4,0,74,44,1,47,0,0
176.0,53,0,3,38,89,33,0,34,33,2,78,0,0
178.0,8,0,0,7,4,7,0,4,8,0,7,0,0
179.0,1,0,0,1,0,4,0,7,0,0,4,0,0
180.0,158,0,7,62,147,34,0,34,55,11,156,0,0
181.0,121,0,4,53,138,20,0,31,49,3,63,0,0
182.0,88,0,3,54,65,5,0,19,26,2,46,0,0
183.0,201,0,9,121,100,73,0,91,111,10,280,0,0
184.0,710,0,11,432,2018,238,2,199,83,0,133,0,1
185.0,511,3,14,330,1062,237,1,136,41,0,100,0,0
186.0,338,5,10,182,697,141,0,99,36,1,82,0,0
187.0,167,0,14,330,60,94,0,111,16,23,189,0,24
188.0,164,0,13,336,90,95,0,96,24,13,215,0,17
189.0,152,0,9,329,95,87,3,99,9,10,224,0,16
191.0,252,6,35,306,255,142,0,58,3,0,313,0,1
192.0,19,0,4,33,26,9,0,3,1,0,37,0,0
193.0,124,0,6,58,247,141,0,155,7,9,201,0,0
194.0,118,0,4,135,169,134,0,123,69,6,327,0,0
195.0,68,0,2,59,85,41,0,54,6,0,85,0,0
196.0,35,0,5,41,276,83,0,124,77,7,232,0,0
197.0,17,0,2,41,33,25,0,31,9,1,98,0,0
198.0,90,0,2,100,98,56,0,67,9,1,98,0,0
199.0,48,1,3,78,98,102,0,72,15,4,65,0,4
200.0,64,0,7,130,152,79,0,81,59,3,95,0,1
201.0,58,0,5,37,139,72,0,47,23,7,79,0,2
202.0,144,0,8,77,101,113,0,54,12,3,120,0,1
203.0,33,0,10,138,72,166,0,67,7,3,73,0,3
204.0,2,0,0,3,2,9,0,3,0,0,2,0,0
205.0,58,0,8,57,85,71,0,65,26,1,29,0,2
206.0,104,0,1,36,80,37,0,33,17,1,30,0,0
207.0,404,0,1,57,72,126,1,58,26,12,32,0,0
208.0,63,0,0,27,5,12,0,11,8,1,8,0,0
209.0,126,1,3,273,78,62,1,85,35,7,21,0,2
210.0,235,0,1,74,151,106,0,91,14,7,35,0,0
211.0,703,3,8,1836,87,98,6,210,212,9,309,0,41
212.0,92,0,5,141,136,48,0,0,24,0,65,0,0
213.0,93,0,7,178,131,58,0,0,47,0,101,0,0
214.0,28,0,2,61,43,22,0,0,9,0,34,0,0
215.0,107,0,10,140,73,99,0,60,30,0,134,0,3
216.0,129,0,16,451,174,83,0,188,55,10,215,0,21
217.0,51,0,15,329,108,78,1,161,42,6,192,1,10
218.0,79,0,13,392,157,45,0,279,68,11,193,0,7
219.0,105,0,18,431,102,92,0,177,39,5,224,0,12
220.0,38,0,17,131,49,20,0,68,10,2,265,2,0
221.0,10,0,3,97,17,17,0,27,3,1,23,0,1
222.0,42,0,9,311,97,32,0,76,14,5,37,0,4
223.0,57,0,20,310,34,65,0,144,25,7,124,0,3
224.0,86,0,0,8,11,6,0,0,0,0,12,0,0
225.0,256,0,0,20,14,64,0,1,0,0,38,0,0
226.0,143,0,0,7,53,19,0,0,0,1,20,0,0
227.0,453,0,0,23,158,78,0,0,1,3,100,0,0
228.0,102,0,0,25,127,6,0,0,0,0,10,0,0
229.0,170,0,0,12,10,40,0,0,0,0,24,0,0
230.0,59,0,0,1,20,0,0,0,0,0,0,0,0
231.0,22,0,0,2,20,3,0,0,0,0,3,0,0
232.0,1,0,0,0,2,0,0,0,0,0,3,0,0
233.0,20,0,2,151,18,22,0,121,30,15,103,0,4
234.0,62,0,3,258,59,54,0,163,23,10,152,0,4
235.0,23,0,2,107,54,17,0,122,13,5,40,0,1
